Product id,Product company,Product category,price/value,stars,Product name
B01M1SJNVU,Dremel,Tools & Home Improvement ,104.99,4.8,Dremel 4300-5/40 High Performance Rotary Tool Kit with LED Light- 5 Attachments & 40 Accessories- Engraver
B09LX43LC4,BOSCH,Tools & Home Improvement ,98.01,4.5,BOSCH GWS12V-30N 12V Max Brushless 3 In. Angle Grinder (Bare Tool)
B0CJ7XKJ1F,EXPEDMAN,Tools & Home Improvement ,32.97,4.5,Christmas Stocking Stuffers for Adults Him Men - Contour Gauge(10inch+5inch) - Outline Shape Duplicator Woodworking Tools for DIY Handyman
B0CGCY4CKZ,DEPSTECH,Tools & Home Improvement ,54.99,4.5,DEPSTECH Cordless Rotary Tool Kit
B0BW9658TW,MEION,Kitchen & Dining ,22.99,4.8,WDT Espresso Distribution Tool Espresso Stirrer Tools for Barista
B07XQZ6QWS,QuntionSt,Tools & Home Improvement ,19.98,4.7,Gifts for Men
B01M0J08MF,BOSCH,Tools & Home Improvement ,79.0,4.7,BOSCH PR20EVS Router Tool
B01BBSO6DQ,Carhartt,Tools & Home Improvement ,119.99,4.8,Carhartt Legacy Tool Bag 18-Inch w/ Molded Base
B01MR53G6C,RAK,Tools & Home Improvement ,21.49,4.7,RAK Magnetic Pickup Tool - Christmas Gifts for Men - Telescoping Magnet Pickup Tool with Bright LED Lights and Extendable Neck - Cool Gadgets Gifts Stocking Stuffer Gifts for Men
B08BL6NL5P,JOYIN,Toys & Games ,24.99,4.3,JOYIN 19Pcs Kids Tool Set
B0BB2N1N29,The Ryker Bag,Tools & Home Improvement ,47.5,4.6,The Ryker Bag PRO Official Tool Roll Organizer – 4 Detachable Tool Pouches + Wrench Organizer
B08B6F53NM,beyond,Tools & Home Improvement ,99.99,4.7,beyond by BLACK+DECKER Home Tool Kit with 20V MAX Drill/Driver
B0BGHQ49LG,LLNDEI,Tools & Home Improvement ,68.99,4.7,LLNDEI 3/8”Drive Impact Socket Set
B08CXQ2SLS,Intelitopia,Tools & Home Improvement ,37.99,4.6,Intelitopia Complete Knife Sharpening Stone Set – Dual Grit Whetstone 400/1000 3000/8000 Knife Sharpener with Leather Strop
B0CN58PKQ6,Milwaukee,Tools & Home Improvement ,28.99,5.0,Milwaukee 27-In-1 Ratcheting Multi-Bit Screwdriver
